depth,age,sum_pollen,pollen_ID_per,unknown_per,sum_objects_per,abb_pic_mix,abies_b,acer_mix,alnus_mix,betula_mix,corylus_c,eucalyptus,juni_thuya,npp_mix,picea_mix,pinus_b_mix,pinus_mix,pinus_s,quercus_r,tricolp_mix,tripor_mix
990,8356,741,81.2,18.76,148.18,24.56,4.59,1.08,0.40,4.59,0.27,1.35,4.86,48.18,19.97,30.77,42.65,11.88,1.48,2.56,6.61
993,8421,504,77.2,22.82,166.67,24.21,7.14,2.18,0.99,8.73,0.00,2.58,3.77,66.67,17.06,24.60,33.93,9.33,0.79,2.98,13.49
996,8485,592,78.7,21.28,147.47,14.36,3.38,2.70,0.68,5.91,0.84,1.35,4.90,47.47,10.98,36.15,47.13,10.98,0.84,3.55,10.81
999,8549,622,79.7,20.26,152.89,26.21,7.07,1.45,0.96,5.47,0.00,1.45,3.05,52.89,19.13,33.60,40.19,6.59,0.96,2.41,8.84
1002,8613,482,79.0,20.95,130.71,26.56,8.30,1.87,0.83,3.32,0.21,1.45,2.70,30.71,18.26,32.99,40.25,7.26,1.87,3.73,6.64
1005,8678,959,84.8,15.22,129.20,30.66,9.70,1.36,0.73,2.19,0.21,0.42,3.02,29.20,20.96,38.79,45.67,6.88,0.52,1.88,4.38
1008,8742,375,84.5,15.47,137.87,24.53,5.60,2.13,0.80,3.47,1.60,1.60,5.87,37.87,18.93,35.47,44.00,8.53,0.53,2.67,8.53
1011,8806,860,78.1,21.86,133.02,22.09,6.16,2.33,0.47,5.81,0.23,0.70,3.95,33.02,15.93,34.07,42.09,8.02,0.47,2.79,8.02
1014,8870,466,79.0,21.03,185.84,32.62,13.52,1.93,0.00,6.87,0.43,0.21,6.44,85.84,19.10,18.67,29.61,10.94,0.86,2.79,8.80
1017,8935,814,82.7,17.32,141.77,27.64,10.20,2.09,0.37,5.41,0.00,0.49,3.93,41.77,17.44,35.87,41.28,5.41,1.47,3.56,6.76
1020,8999,248,75.0,25.00,219.76,23.39,9.27,2.82,0.81,10.08,0.81,5.24,8.47,119.76,14.11,16.13,22.18,6.05,1.21,4.03,18.15
1023,9063,635,77.8,22.20,159.37,31.18,12.60,1.89,0.63,7.87,0.16,1.57,5.51,59.37,18.58,21.42,26.93,5.51,2.05,3.94,12.60
1025,9106,436,84.2,15.83,131.42,13.99,3.21,3.44,0.00,4.36,0.69,1.83,5.28,31.42,10.78,43.35,53.21,9.86,1.38,4.82,8.26
1026,9127,689,82.6,17.42,137.16,24.67,7.26,1.60,0.15,3.92,0.44,0.87,5.08,37.16,17.42,32.66,44.85,12.19,1.02,2.61,6.97
1029,9191,528,80.3,19.70,133.14,19.70,5.49,0.95,0.00,3.79,0.19,1.14,3.22,33.14,14.20,39.02,50.00,10.98,1.33,2.27,5.30
1032,9256,436,80.5,19.50,154.82,17.20,1.61,2.29,0.23,3.67,0.69,1.15,7.80,54.82,15.60,27.98,47.48,19.50,0.00,2.29,6.88
1035,9320,542,78.8,21.22,152.95,11.25,2.95,2.95,0.74,5.17,0.74,1.29,9.23,52.95,8.30,30.63,46.13,15.50,1.29,4.24,9.78
1038,9384,168,79.8,20.24,155.36,16.67,5.95,4.17,1.19,5.36,0.60,1.79,7.14,55.36,10.71,28.57,41.07,12.50,1.79,5.95,11.31
1041,9448,371,79.2,20.75,166.04,22.37,6.20,2.43,0.27,8.09,1.08,2.16,6.47,66.04,16.17,23.99,35.31,11.32,1.08,3.50,12.13
1044,9513,449,80.4,19.60,140.98,36.75,8.46,2.00,0.67,7.57,0.45,1.56,5.12,40.98,28.29,18.04,24.28,6.24,2.00,4.01,10.91
1047,9577,403,81.1,18.86,126.55,23.57,3.97,1.49,0.50,5.96,0.99,1.49,3.72,26.55,19.60,30.77,42.68,11.91,0.74,2.23,9.68
1050,9641,570,79.6,20.35,166.32,34.04,4.39,2.46,1.58,7.02,0.70,0.35,5.44,66.32,29.65,16.84,26.67,9.82,1.40,3.86,10.18
1053,9705,386,83.2,16.84,134.20,27.20,5.18,4.92,0.00,9.07,1.30,1.30,8.81,34.20,22.02,15.54,29.79,14.25,0.78,5.70,12.44
1056,9770,446,75.6,24.44,162.78,24.66,3.36,2.47,1.79,8.97,0.45,2.69,11.88,62.78,21.30,11.43,20.18,8.74,2.47,4.93,16.14
1059,9834,206,85.0,15.05,161.65,38.83,7.77,4.37,1.46,2.91,0.49,0.49,4.85,61.65,31.07,26.21,29.61,3.40,1.94,6.31,7.77
1062,9904,408,80.9,19.12,163.73,33.58,4.41,3.19,0.00,5.15,1.23,0.98,5.64,63.73,29.17,24.75,30.39,5.64,0.74,3.92,8.09
1065,9974,765,78.4,21.57,155.69,22.09,3.53,5.10,0.78,5.75,1.44,4.05,13.20,55.69,18.56,13.73,23.27,9.54,2.75,7.84,13.46
