depth,age,sum_pollen,pollen_ID_per,unknown_per,sum_objects_per,abb_pic_mix,abies_b,acer_mix,alnus_mix,betula_mix,corylus_c,eucalyptus,juni_thuya,npp_mix,picea_mix,pinus_b_mix,pinus_mix,pinus_s,quercus_r,tricolp_mix,tripor_mix
627,4561,342,72.5,27.49,192.98,8.48,2.34,2.92,1.46,9.94,0.58,2.34,5.85,92.98,6.14,33.04,40.06,7.02,0.88,3.80,19.01
630,4582,519,74.8,25.24,156.84,10.79,3.08,1.54,1.35,6.36,0.77,1.35,3.85,56.84,7.71,36.99,47.21,10.21,1.54,3.08,12.52
631,4589,278,78.8,21.22,142.09,14.03,5.04,1.44,1.44,8.63,1.08,1.08,4.32,42.09,8.99,33.09,46.40,13.31,0.36,1.80,12.95
633,4603,300,75.3,24.67,191.00,8.33,1.67,3.00,1.00,14.33,0.67,1.33,1.67,91.00,6.67,27.33,45.00,17.67,0.00,3.00,19.67
636,4625,342,76.0,23.98,160.23,11.99,2.63,2.05,0.88,4.68,1.75,1.46,3.51,60.23,9.36,27.19,48.83,21.64,0.88,2.92,10.82
639,4646,263,75.3,24.71,182.51,17.11,4.18,1.14,0.38,4.18,1.90,1.52,3.80,82.51,12.93,24.71,44.11,19.39,1.14,2.28,8.75
642,4667,272,84.2,15.81,145.96,13.24,3.68,2.21,0.74,3.68,1.10,1.10,0.74,45.96,9.56,39.34,61.03,21.69,0.37,2.57,7.72
645,4688,474,78.9,21.10,132.49,11.39,2.53,2.95,0.84,5.70,0.21,0.21,2.53,32.49,8.86,41.56,54.43,12.87,0.63,3.59,8.86
648,4710,353,77.1,22.95,185.27,8.78,2.83,2.55,1.13,5.95,0.57,1.98,3.40,85.27,5.95,30.88,51.56,20.68,1.13,3.68,11.61
651,4731,246,75.2,24.80,238.62,3.66,1.22,2.85,0.41,9.76,1.63,3.66,9.35,138.62,2.44,22.76,43.90,21.14,0.00,2.85,18.29
654,4752,282,72.0,28.01,180.50,19.86,4.61,0.00,0.35,2.84,0.71,0.71,4.61,80.50,15.25,21.28,42.91,21.63,0.00,0.00,6.03
657,4774,395,78.2,21.77,179.75,18.48,4.56,2.03,0.76,9.11,1.01,1.27,2.78,79.75,13.92,28.86,41.77,12.91,1.01,3.04,13.16
660,4795,324,78.1,21.91,150.93,14.81,4.32,0.62,0.93,2.47,0.31,0.31,3.40,50.93,10.49,37.65,54.94,17.28,0.31,0.93,5.56
663,4816,305,83.0,17.05,146.89,20.00,1.97,0.66,0.00,3.61,1.64,0.66,2.95,46.89,18.03,37.05,52.79,15.74,0.66,1.31,7.54
666,4838,478,81.0,19.04,167.15,11.30,3.35,3.77,1.67,7.74,1.26,0.84,4.60,67.15,7.95,37.45,48.12,10.67,1.67,5.44,12.97
669,4859,328,75.3,24.70,194.51,4.57,1.22,1.52,1.52,8.54,0.30,2.74,3.05,94.51,3.35,29.88,52.74,22.87,0.30,1.83,17.99
673,4887,442,82.8,17.19,123.98,15.38,2.94,1.58,0.45,6.33,0.00,0.68,2.94,23.98,12.44,33.94,54.75,20.81,0.68,2.26,7.92
675,4901,282,79.8,20.21,163.83,9.57,3.90,2.13,0.00,5.32,1.77,0.71,2.13,63.83,5.67,26.24,57.80,31.56,0.35,2.48,8.51
678,4923,412,81.3,18.69,159.22,8.98,1.70,2.43,0.73,5.83,0.73,1.46,4.85,59.22,7.28,35.19,55.83,20.63,0.49,2.91,9.71
681,4944,353,71.1,28.90,198.02,2.27,0.57,5.67,0.28,3.40,0.57,0.85,3.68,98.02,1.70,35.41,53.82,18.41,0.57,6.23,9.07
684,4966,926,76.7,23.33,132.72,4.75,0.76,3.46,1.62,7.99,2.27,2.38,4.43,32.72,4.00,34.56,48.60,14.04,1.19,4.64,18.90
687,4988,348,79.6,20.40,141.38,14.08,3.45,1.72,1.72,10.92,0.29,0.29,2.01,41.38,10.63,33.33,46.84,13.51,1.72,3.45,16.95
690,5010,332,80.1,19.88,178.31,13.25,1.81,2.11,0.90,9.04,0.90,3.61,4.22,78.31,11.45,25.60,45.78,20.18,0.30,2.41,15.66
693,5031,351,75.2,24.79,176.07,16.52,3.42,0.57,1.42,7.12,1.99,1.14,2.28,76.07,13.11,27.64,42.74,15.10,1.42,1.99,13.68
696,5053,410,79.5,20.49,144.63,5.12,1.22,2.44,1.46,11.46,1.22,2.93,3.17,44.63,3.90,34.63,50.24,15.61,1.46,3.90,23.41
699,5075,345,77.4,22.61,160.29,12.75,2.90,3.48,1.45,6.38,0.29,0.29,2.32,60.29,9.86,30.14,49.28,19.13,1.16,4.64,10.14
702,5097,599,81.5,18.53,154.92,5.84,1.67,5.68,1.50,1.67,1.50,1.67,6.01,54.92,4.17,38.73,56.09,17.36,1.50,7.18,7.51
705,5119,357,75.6,24.37,163.87,10.92,3.64,2.80,1.96,9.52,0.84,1.68,2.80,63.87,7.28,31.65,44.54,12.89,0.56,3.36,17.09
708,5141,318,79.2,20.75,179.87,8.18,2.83,2.83,0.63,10.06,0.94,1.26,5.03,79.87,5.35,30.19,49.69,19.50,0.63,3.46,16.35
711,5162,250,72.8,27.20,214.40,2.40,0.80,2.40,0.40,12.80,1.60,0.40,4.80,114.40,1.60,15.20,48.00,32.80,0.00,2.40,17.60
714,5184,489,78.3,21.68,165.03,15.34,3.48,1.43,0.41,6.95,0.61,0.61,2.25,65.03,11.86,27.61,50.31,22.70,0.41,1.84,10.22
717,5206,404,82.4,17.57,160.15,9.65,1.73,3.47,0.50,3.71,2.48,0.25,3.96,60.15,7.92,36.88,57.43,20.54,0.99,4.46,7.92
720,5228,451,74.1,25.94,148.34,23.28,5.54,1.55,0.22,5.54,0.67,0.44,2.00,48.34,17.74,27.49,39.47,11.97,0.89,2.44,8.20
723,5250,303,72.6,27.39,157.43,15.84,1.98,2.97,0.33,7.26,0.99,1.32,4.95,57.43,13.86,14.85,38.94,24.09,0.00,2.97,10.89
726,5271,234,73.5,26.50,202.99,11.97,2.99,1.71,1.28,9.83,2.99,0.43,3.85,102.99,8.97,15.38,41.03,25.64,0.43,2.14,16.24
729,5293,454,80.2,19.82,147.14,10.13,2.42,1.76,0.44,4.63,1.32,1.32,1.98,47.14,7.71,40.97,58.15,17.18,0.44,2.20,8.81
732,5315,242,81.8,18.18,164.05,27.27,6.61,0.83,0.83,4.96,0.00,0.00,4.55,64.05,20.66,27.69,42.98,15.29,0.41,1.24,6.20
735,5337,392,75.5,24.49,203.06,33.42,9.95,1.79,0.51,5.10,0.26,1.02,1.53,103.06,23.47,23.21,30.10,6.89,1.79,3.57,7.14
738,5359,287,74.9,25.09,179.79,25.78,6.27,1.74,1.05,3.83,0.00,1.05,5.57,79.79,19.51,26.48,34.84,8.36,1.05,2.79,8.01
741,5381,286,76.6,23.43,175.52,9.09,3.15,2.80,0.00,6.64,0.35,1.40,2.80,75.52,5.94,31.47,53.15,21.68,0.35,3.15,9.44
744,5402,298,86.6,13.42,128.52,17.45,3.36,1.34,0.00,1.68,0.34,0.00,1.34,28.52,14.09,47.65,63.76,16.11,0.67,2.01,2.68
747,5424,408,79.7,20.34,147.06,19.61,5.39,1.96,0.74,4.66,0.49,0.49,2.94,47.06,14.22,27.70,48.77,21.08,0.00,1.96,6.86
750,5446,222,79.7,20.27,162.16,13.51,3.60,2.70,1.80,9.91,2.25,0.90,2.70,62.16,9.91,23.42,45.95,22.52,0.00,2.70,15.77
753,5468,449,77.5,22.49,168.82,19.38,5.12,0.89,0.22,6.46,0.22,1.56,3.12,68.82,14.25,30.96,44.54,13.59,1.11,2.00,9.58
756,5490,235,76.2,23.83,155.32,16.60,3.40,2.55,0.00,4.68,0.43,0.85,3.83,55.32,13.19,23.40,46.81,23.40,0.43,2.98,6.38
759,5511,327,78.9,21.10,158.41,16.82,3.98,1.22,0.00,6.12,0.31,1.22,3.36,58.41,12.84,30.89,49.54,18.65,0.31,1.53,9.48
762,5533,357,74.5,25.49,174.51,17.37,3.92,0.00,1.96,4.48,0.28,1.12,2.52,74.51,13.45,33.89,45.10,11.20,1.68,1.68,8.96
765,5555,501,73.7,26.35,207.39,22.16,3.79,2.59,1.20,14.17,0.60,1.20,7.19,107.39,18.36,9.58,23.75,14.17,0.80,3.39,19.76
768,5577,411,72.3,27.74,152.31,32.85,8.76,0.73,0.73,4.62,0.73,0.24,2.43,52.31,24.09,18.25,29.68,11.44,0.24,0.97,7.06
771,5601,251,83.7,16.33,144.22,16.33,4.38,3.19,0.00,3.19,0.00,0.80,1.99,44.22,11.95,32.67,57.77,25.10,0.40,3.59,4.38
774,5629,343,71.1,28.86,166.76,5.54,1.17,1.17,0.58,4.96,2.04,0.87,3.50,66.76,4.37,18.95,52.19,33.24,0.29,1.46,11.37
777,5657,264,80.7,19.32,157.58,23.86,6.06,0.76,0.38,4.92,0.00,0.38,4.17,57.58,17.80,33.71,45.83,12.12,0.38,1.14,6.06
780,5685,304,75.3,24.67,146.38,18.42,5.26,2.96,0.66,3.95,0.33,0.66,1.64,46.38,13.16,18.42,46.05,27.63,0.66,3.62,7.24
783,5713,326,78.5,21.47,155.21,11.04,2.76,1.23,0.92,7.36,0.00,0.61,3.68,55.21,8.28,26.69,53.37,26.69,0.31,1.53,9.51
786,5742,220,74.1,25.91,248.64,18.64,4.09,2.27,0.45,7.73,0.00,0.45,5.45,148.64,14.55,20.45,38.64,18.18,0.45,2.73,10.00
789,5770,218,77.5,22.48,234.86,22.48,4.13,0.46,0.46,5.05,0.00,0.00,2.75,134.86,18.35,32.57,46.33,13.76,0.00,0.46,5.50
792,5798,259,73.7,26.25,249.03,16.22,4.63,1.93,0.00,9.27,0.77,1.16,3.47,149.03,11.58,23.94,40.15,16.22,0.77,2.70,12.36
795,5826,482,72.4,27.59,226.14,21.99,4.56,1.45,0.41,9.34,0.00,1.45,4.56,126.14,17.43,17.63,32.16,14.52,1.04,2.49,12.45
798,5854,235,70.2,29.79,276.17,8.09,1.70,3.40,1.70,6.38,2.98,1.28,5.11,176.17,6.38,17.02,40.43,23.40,0.85,4.26,14.47
801,5882,173,75.1,24.86,241.62,20.81,4.62,0.00,0.58,5.78,0.00,2.31,2.31,141.62,16.18,26.01,43.35,17.34,0.00,0.00,9.25
804,5911,282,69.1,30.85,195.74,15.60,5.67,1.77,1.06,6.74,0.35,1.06,1.77,95.74,9.93,30.50,39.36,8.87,1.42,3.19,11.35
807,5939,253,73.1,26.88,202.37,24.11,7.11,1.19,0.00,9.49,0.79,1.58,1.98,102.37,17.00,18.18,32.41,14.23,1.58,2.77,13.04
810,5967,413,82.1,17.92,132.20,16.95,5.33,1.94,1.45,3.63,0.24,0.24,0.97,32.20,11.62,43.34,55.93,12.59,0.73,2.66,5.81
813,5995,740,76.4,23.65,138.24,24.59,4.46,1.22,0.27,7.70,0.41,0.81,2.84,38.24,20.14,17.30,38.38,21.08,0.14,1.35,10.27
816,6023,392,75.5,24.49,140.82,26.02,6.12,0.51,0.00,6.12,0.00,0.26,4.34,40.82,19.90,23.47,37.50,14.03,0.77,1.28,7.65
819,6051,330,75.5,24.55,143.94,30.30,4.55,1.21,1.52,3.64,0.00,0.30,3.33,43.94,25.76,20.00,35.15,15.15,0.00,1.21,6.36
822,6080,347,74.4,25.65,131.70,25.36,3.75,1.15,0.86,6.92,0.00,0.29,3.46,31.70,21.61,19.88,36.31,16.43,0.00,1.15,8.93
825,6108,421,82.4,17.58,133.97,9.50,1.19,1.43,0.48,7.36,0.24,2.14,2.38,33.97,8.31,26.60,58.67,32.07,0.24,1.66,11.64
828,6136,840,77.3,22.74,142.62,14.40,3.57,1.67,0.48,7.98,0.60,1.31,3.10,42.62,10.83,29.52,47.02,17.50,0.71,2.38,12.50
831,6164,443,77.2,22.80,132.05,36.79,7.22,0.90,0.45,5.19,0.45,1.35,2.48,32.05,29.57,16.70,28.89,12.19,0.68,1.58,8.80
834,6192,400,82.8,17.25,123.50,4.50,1.75,1.75,1.00,5.25,0.50,1.50,2.50,23.50,2.75,31.75,65.75,34.00,0.00,1.75,10.25
837,6220,531,78.0,22.03,156.69,27.12,6.97,1.13,0.19,4.33,0.38,0.19,1.32,56.69,20.15,30.51,42.37,11.86,0.94,2.07,5.65
840,6248,710,76.9,23.10,122.68,28.31,4.79,0.56,0.28,4.23,0.14,0.14,2.25,22.68,23.52,23.80,40.70,16.90,0.28,0.85,5.49
843,6277,1120,81.3,18.66,119.46,26.07,5.45,0.89,0.18,2.68,0.27,0.27,1.25,19.46,20.63,29.29,48.93,19.64,0.80,1.70,4.02
846,6305,380,78.7,21.32,153.95,27.11,5.53,1.58,0.53,4.47,0.26,0.79,5.00,53.95,21.58,20.00,38.68,18.68,0.26,1.84,7.11
849,6333,255,81.6,18.43,154.90,23.53,4.71,1.18,0.00,2.75,0.00,0.39,3.14,54.90,18.82,22.35,50.59,28.24,0.00,1.18,3.14
852,6361,316,78.5,21.52,132.59,19.94,5.70,1.27,0.63,6.65,0.00,0.63,2.22,32.59,14.24,18.04,47.15,29.11,0.00,1.27,8.86
855,6389,285,74.0,25.96,140.35,34.39,7.72,1.40,0.35,5.61,0.35,0.70,4.91,40.35,26.67,9.82,26.32,16.49,0.00,1.40,7.02
858,6417,549,84.3,15.66,149.36,4.92,1.46,1.28,0.18,4.74,0.18,0.36,2.91,49.36,3.46,38.80,69.40,30.60,0.36,1.64,6.01
861,6448,654,83.2,16.82,136.39,7.49,2.14,1.53,0.15,2.91,0.15,0.46,2.75,36.39,5.35,33.64,67.43,33.79,0.31,1.83,4.28
864,6483,545,83.1,16.88,122.02,22.75,7.89,0.73,0.18,0.37,0.18,0.00,0.55,22.02,14.86,45.87,58.17,12.29,0.18,0.92,1.10
867,6519,353,81.6,18.41,128.61,16.15,5.10,1.98,0.00,0.28,0.00,0.57,1.13,28.61,11.05,45.89,60.91,15.01,0.57,2.55,0.85
870,6554,828,80.1,19.93,128.38,20.29,4.11,0.72,0.24,1.45,0.24,0.24,1.21,28.38,16.18,30.31,55.19,24.88,0.48,1.21,2.42
873,6590,367,76.8,23.16,114.44,35.69,10.90,1.36,0.00,0.54,0.00,0.27,1.63,14.44,24.80,28.88,37.06,8.17,0.27,1.63,1.09
876,6625,196,75.5,24.49,123.98,21.43,4.08,1.02,0.00,1.53,0.00,1.02,1.53,23.98,17.35,23.47,48.47,25.00,0.51,1.53,3.06
