depth,age,abb_pic_mix,abies_b,acer_mix,acer_r,acer_s,alnus_c,alnus_mix,alnus_r,betula_mix,corylus_c,eucalyptus,juni_thuya,npp_mix,picea_mix,pinus_b_mix,pinus_mix,pinus_s,quercus_r,tricolp_mix,tripor_mix,unknown
433,3247,26,3,9,3,3,2,3,1,28,2,7,13,536,20,63,103,10,5,22,45,48
436,3275,41,12,33,20,6,4,8,4,48,18,12,37,810,27,93,163,28,7,46,94,86
439,3302,27,8,14,6,8,0,7,4,10,7,6,13,469,18,146,192,11,8,25,34,61
442,3328,39,8,10,6,4,2,3,1,7,6,4,4,184,28,116,172,25,6,19,25,47
446,3363,90,21,1,0,1,3,3,0,9,1,3,15,258,59,86,144,15,2,4,17,36
448,3379,42,4,49,22,20,1,1,0,20,7,4,13,154,36,216,291,23,3,58,37,58
451,3404,37,10,17,9,6,3,10,6,68,7,15,28,521,24,164,242,22,11,34,115,81
454,3429,64,11,18,12,4,0,4,4,19,9,9,18,212,46,107,185,27,3,22,44,54
457,3453,89,12,12,5,7,5,10,3,28,9,10,23,251,74,172,279,31,5,19,64,77
460,3477,27,3,10,6,2,3,7,4,20,5,10,21,306,23,105,213,35,2,13,49,47
463,3500,43,8,12,11,1,0,5,5,28,7,11,26,398,31,61,123,28,2,15,54,35
466,3523,111,25,18,5,10,3,12,6,46,7,13,32,379,77,202,319,46,9,33,99,104
469,3546,30,5,59,27,26,2,6,2,34,13,13,39,537,23,178,240,24,18,87,85,97
472,3568,28,6,84,46,30,7,13,6,40,33,13,50,468,20,205,302,27,28,125,117,128
475,3590,28,8,2,0,1,1,1,0,4,3,8,13,222,18,20,49,11,1,5,18,27
478,3611,70,14,32,17,15,2,7,5,51,23,13,28,408,50,354,418,21,20,68,117,117
481,3632,85,19,15,10,5,1,2,1,30,4,8,25,257,56,195,312,37,9,27,54,76
484,3653,68,16,7,3,3,1,3,2,26,3,2,2,199,43,181,265,37,2,10,40,51
487,3674,21,5,16,6,9,0,1,1,10,1,3,13,250,13,130,176,12,5,26,25,57
490,3694,52,18,12,6,6,2,4,2,14,3,4,3,165,29,97,138,14,2,15,27,37
